movie_id	title	is_adult	release_year	duration	genres	avg_rating	votes	directors	writers	actors
tt2338432	Wybraniec	false	2014	88	Drama	5.2	12	Michal Wegrzyn	Michal Wegrzyn	Jakub Kamienski|Pawel Laskowski|Adam Bobik|Michal Wegrzyn|Maja Bohosiewicz|Grzegorz Kowalczyk|Wojciech Wegrzyn|Karolina Gorczyca|Adrianna Biedrzynska|Mariusz Drezek
tt3140100	The Absent One	false	2014	119	Crime,Mystery,Thriller	7.1	12711	Mikkel Nørgaard	Nikolaj Arcel|Rasmus Heisterberg|Jussi Adler-Olsen|Mikkel Nørgaard	Pilou Asbæk|Mikkel Nørgaard|David Dencik|Fares Fares|Nikolaj Arcel|Jussi Adler-Olsen|Jonas Bagger|Nikolaj Lie Kaas|Peter Aalbæk Jensen|Rasmus Heisterberg
tt4038478	Ayahuasca Nature's Greatest Gift	false	2014	65	Documentary	0.0	0	Seti Gershberg	Seti Gershberg|Lily Kay Ross	Seti Gershberg|Lily Kay Ross
tt3498344	Chalvet, la conquête de la dignité	false	2014	110	Documentary,History	0.0	0	Camille Mauduech	Camille Mauduech	Bénédicte Teiger|Josette Bomare|Ludovic Naar|Jean Abaul|Raymonde Cabrimol|Sebastian Naar|Camille Mauduech|Léon Bertide|Sébastien Naar
tt4011540	Lago Enriquillo: Preludio del Cambio Climático	false	2014	73	Documentary	0.0	0	Fernando Baez Mella	Fernando Baez Mella	Frankie Baez|Pedro Pagan|Fernando Baez Mella|Gabriel Cruz
tt3400460	Foodies: The Culinary Jet Set	false	2014	95	Documentary	6.1	426	Henrik Stockare|Thomas Jackson|Charlotte Landelius		Thomas Jackson|Patrik Andersson|Henrik Stockare|Katie Keiko|Perm Paitayawat|Charlotte Landelius|Fredrik Heinig|Andy Hayler|Aiste Miseviciute|Mattias Nohrborg
tt3407326	Cult	false	2014	81	Drama,Thriller	0.0	0	Lance T. Karasti	Lance T. Karasti	Brent Dooley|Sean Franzen|Forrest Greenwood|Marcus Jahn|Lance T. Karasti|Paul Jahn|Abe Diaz|Chris LeBlanc|Sadie Cheslak|Nathan Hanninen
tt6021184	Beside You	false	2014	50	Documentary	0.0	0	Yu-Hsun Tsai		Tai-yun Hsu|Bo-Tsun Kuo|Chia-Chen Lan|Yu-Hsun Tsai
tt3041932	To See the Sea	false	2014	90	Comedy,Drama,Family	6.9	234	Jirí Mádl	Jirí Mádl	Milos Smídmajer|René Rypar|Edita Kainrathová|Jan Marsál|Lucie Trmíková|Jana Nosková|Jakub Vansa|Petr Simcák|Ondrej Vetchý|Jirí Mádl
tt2944980	4Play	false	2014	0	Drama	5.0	44	Paul D. Hannah	Paul D. Hannah	Lawrence Malloy|Paula Jai Parker|Wesley Jonathan|Angela White|Angell Conwell|Christopher Roth|Paul D. Hannah|Reginald Paul|Theodore Gearring|Jaleel White
tt2903538	The Fly Room	false	2014	83	Biography,Drama	7.0	28	Alexis Gambis	Alexis Gambis|Rose Meacham	Pedro Gómez Millán|Griffin Newman|Henry Hopper|Sarah Elizabeth Mitchell|Stan Demidoff|Alexis Gambis|Rose Meacham|Alexander Akoka|Krista Parris|Daniel Wohl
tt5443116	Seeds from the Heart	false	2014	51	Documentary	0.0	0
tt2773422	Let It Rain	false	2014	0	Drama	0.0	0	Mark Mendola	Lori Cholewka|Mark Mendola	Adam R. Steigert|Stephanie Albon|Jessica Capps|Jim Cholewka|Lori Cholewka|Mark Mendola|Jason John Beebe|Christopher Burns Jr.
tt3312100	The Human Face of Big Data	false	2014	56	Documentary,News	7.4	140	Sandy Smolan	Sandy Smolan	Chris Grounds|William Medsker|Jacek Laskus|Lexie Butler|Dan Oberle|Philip Sheppard|Lisa Coronado|Sandy Smolan|Miles Dewar
tt2734708	American Native	false	2014	83	Documentary,Drama,History	6.6	24	Steven Oritt		Corey Bobker|Jack Anderson|Sonya Anderson|Amanda Anderson|Pete Yorn|Steven Oritt|Marc Dauer|Will Barton|Ashley Apolito|Matthew Ogens
tt3207318	The Motherland Expedition	false	2014	0	Documentary	0.0	0	Ev Alexander	Ev Alexander	Sasha Yatchenko|Samantha Zawistowski|Greg Gagne|Diane Wellman|Christian van Deurs|David Shahverdian|Mason Maggio|Jeremy Stanhope|Ev Alexander
tt4874414	Body and Soul: The State of the Jewish Nation	false	2014	65	Documentary	0.0	0	Gloria Z. Greenfield	Gloria Z. Greenfield	Ruth Wisse|Jonathan Sacks|Robert Wistrich|Gloria Z. Greenfield|Sharon Farber|Richard Chisolm|David Grossbach|Yossi Klein Halevi|Victor Davis Hanson|Alan M. Dershowitz
tt4773466	Cort(Os)Azar	false	2014	60		0.0	0	Rocio Aguirre|Rocio Allaltuni|Pablo Isidoro Appendino|Facundo Baigorri|Melisa Barbereau|Sergio Barroso|Luz de la Fuente Bordalecu|Irene Braggio|Juan Manuel Burtolli|María Verónica Cacho|Emilia Celoria|Silvina Cherry|Esteban Chocobar|María Claudina Eckerdt|Andrea Escandón|Esteban Galeano|José Gauna|Agustín Gerlinger|Elisa Goyeneche|Noelia Hurtado|Paula Lepiante|Sofia Leruga|Soledad Llamba|Gilda Lorenti|Felicitas Marcocci|Maxilimiliano Martiniau|Bruno Massino|Cristina Miranda|Felipe Murillo|Franco Nicoletta|Gabriela Ojeda|María Florencia Ondona|Nicolas Peperetti|Pablo Prego|Gerónimo Rios Longobucco|Florencia Rives|Jose Pablo Rodriguez Murillo|Damian Rodriguez|Octavio Romero|Angie Ruiz|Emanuel Sanchez Acosta|Tomás Saralegui|Amparo Saraví|Giuliana Scicolone|Olmo Sánchez|Jaime Tabares Rueda|Paloma Torello|Alejandra Trifilio	Sergio Barroso|Irene Braggio|Esteban Chocobar|Julio Cortázar|Esteban Galeano|José Gauna|Elisa Goyeneche|Paula Lepiante|Soledad Llamba|Gilda Lorenti|Gabriela Ojeda|María Florencia Ondona|Giuliana Scicolone|Facundo S. Torrieri	Rocio Aguirre|Irene Braggio|Anna Dekuchavsky|Sergio Barroso|Pablo Isidoro Appendino|Rocio Allaltuni|Facundo Baigorri|Romina Col|Horacio Echever|Melisa Barbereau
tt4641232	Le nez	false	2014	84	Action,Documentary	7.4	30	Kim Nguyen	Kim Nguyen	Lucie Tremblay|Nicolas Fransolet|Nicolas Fransolet|Antoine Binette Mercier|Lucie Tremblay|Kim Nguyen|Vidal Béïque
tt3923572	The Price of Crime	false	2014	100	Biography,Crime,Drama	6.0	81	Alessandro Piva	Massimo Gaudioso|Giacomo Gensini|Alessandro Piva	Galliano Juso|Giacomo Gensini|Massimo Gaudioso|Alessandro Piva|Francesco Di Leva|Andrea Farri|Carmine Recano|Valentina Lodovini|Francesco Scianna|Giuseppe Gargiulo
tt4565776	Die Kleinste Armee Der Welt	false	2014	80	Documentary,War	0.0	0	Martin Gerner	Martin Gerner	Andreas Zitzmann|Martin Gerner
tt4530556	The Holocaust Years	false	2014	0	History	0.0	0	Mark Bedrosian	Mark Bedrosian	Val Mijailovic|Mark Bedrosian
tt3917962	Calling	false	2014	75	Drama	6.5	30	Marcin Dudziak	Marcin Dudziak|Kazimierz Orlos	Pawel Balajewicz|Karol Czajkowski|Marcin Dudziak|Piotr Kornobis|Daniel Gasiorowski|Marcin Ochwald|Witold Kotrys|Sebastian Pawlak|Tomasz Wozniczka|Kazimierz Orlos
tt3893382	Left Hook	false	2014	13	Documentary,News	0.0	0	Alexandra Grant|Katie Westfall	Ralph Semilla	Katie Westfall|Ralph Semilla|Alexandra Grant
tt2632342	Mister Rio: A Batalha dos 80	false	2014	107	Biography,Documentary,Drama	8.6	17	Rafael Ignachiti|Flavio Lordello		Flavio Lordello|Chris Aceto|Luiz Claudio|Rodrigo Boecker|Cássia Viviane|Sheila Maltez|Jorlan|Rafael Ignachiti|Dennis James|Flávio Lordello
tt4293766	Kayal	false	2014	139	Romance	6.5	273	Prabu Solomon	Prabu Solomon	James|Chandran|Anandhi|Vetrivel Mahendran|Gemini Rajeshwari|Prabu Solomon|D. Imman|Madhan|Vincent|Escape
tt3772364	Maria Leonora Teresa	false	2014	0	Drama,Horror,Thriller	5.9	62	Wenn V. Deramas	Wenn V. Deramas|Keiko Aquino	Jodi Sta. Maria|Zanjoe Marudo|Rhed Bustamante|Danny Cristobas|Carmina Cuya|Charlie Peralta|Iza Calzado|Wenn V. Deramas|Keiko Aquino|Marya Ignacio
tt3749358	Greece: Days of Change	false	2014	83	Documentary	7.6	8	Elena Zervopoulou	Elena Zervopoulou	Drog A. Tek|Ilias Adamis|Kenan Akkawi|Elena Zervopoulou
tt3647150	Papa, zdravstvui...	false	2014	22	Biography,Documentary,Drama	0.0	0	Natalya Kononenko	Natalya Kononenko	Valeriy Korunov|Oleg Kalyan|Natalya Kononenko
tt3614918	The World on Your Street	false	2014	19	Biography,Documentary	0.0	0
tt3469874	Amelie's Party	false	2014	0	Comedy	0.0	0	George Maddocks		Mariele Runacre Temple|Josephine Arden|George Maddocks
tt3459430	Supari - The Quest Begins Now	false	2014	90	Crime	6.1	32	Aamreeta Gautam	Aamreeta Gautam|Kiran Midigeshi	Vivek Arun|Kiran Midigeshi|Swetanshu Bora|Aamreeta Gautam|Sabreen Baker|Mukesh Ghatiya|Mayuresh Nirhali|Girish Kant|Ranjan Nag|Ruban Phukan
tt3458756	The Measure of All Things	false	2014	65	Documentary	7.5	17	Ymusic|Sam Green		Andrew Black|Mark Dancigers|Ymusic|Peter Sillen|Sam Green
tt3443150	From Borehamwood to Hollywood: The Rise and Fall and Rise of Elstree	false	2014	100	Documentary	8.8	9	Howard Berry	Howard Berry|Paul Welsh	Louise Burns|Brian Blessed|Mick Brady|Brian Clemens|Howard Berry|Lisa Burns|Paul Welsh|Martin G. Baker|Ken Baker|Garrett Brown
